rank,family,model,f1_weighted,f1_macro,accuracy,mcc,precision_weighted,recall_weighted,inference_latency_ms,peak_memory_mb_inference,model_parameter_count
1,Transformer,SAINT,0.9397,0.7023,0.9351,0.9097,0.9511,0.9351,0.0201,1213.4229,61448875
2,Tree-Based,XGBoost,0.9392,0.7257,0.9343,0.9086,0.9514,0.9343,0.0216,107.8658,1735052
3,Tree-Based,LightGBM,0.9377,0.7184,0.9326,0.9064,0.9506,0.9326,0.0075,218.2910,2356
4,Tree-Based,RandomForest,0.9375,0.6937,0.9327,0.9064,0.9493,0.9327,0.0118,3713.6679,1550310
5,Tree-Based,CatBoost,0.9359,0.7104,0.9304,0.9037,0.9502,0.9304,0.0007,20.5454,255500
6,Deep Learning,BiLSTM,0.9356,0.6706,0.9314,0.9041,0.9477,0.9314,0.0070,1213.4229,1005075
7,Transformer,FTTransformer,0.9338,0.6740,0.9280,0.9005,0.9474,0.9280,0.0207,1213.4229,1228211
8,Deep Learning,CNN1D,0.9308,0.6530,0.9254,0.8958,0.9473,0.9254,0.0064,1213.4229,1001459
