rank,model,final_score,perf_score,eff_score,xai_score,f1_weighted,f1_macro,mcc
1,RandomForest,0.8669,1.0000,0.4674,0.0000,0.9999,0.6485,0.3288
2,LightGBM,0.6320,0.5268,0.9477,0.0000,0.9998,0.6012,0.2190
3,CatBoost,0.5699,0.4899,0.8098,0.0000,0.9998,0.5980,0.2233
4,XGBoost,0.5151,0.3589,0.9836,0.0000,0.9997,0.5895,0.2399
5,BiLSTM,0.3458,0.1311,0.9899,0.0000,0.9996,0.5752,0.2298
6,FTTransformer,0.3421,0.2580,0.5941,0.0000,0.9997,0.5783,0.2106
7,CNN1D,0.3087,0.2008,0.6321,0.0000,0.9996,0.5796,0.2361
8,SAINT,0.1098,0.0937,0.1581,0.0000,0.9996,0.5760,0.2438
