rank,model,final_score,perf_score,eff_score,xai_score,f1_weighted,f1_macro,mcc
1,XGBoost,0.9361,0.9234,0.9741,0.0000,0.9392,0.7257,0.9086
2,SAINT,0.8153,1.0000,0.2612,0.0000,0.9397,0.7023,0.9097
3,LightGBM,0.8109,0.7568,0.9732,0.0000,0.9377,0.7184,0.9064
4,RandomForest,0.6871,0.7536,0.4874,0.0000,0.9375,0.6937,0.9064
5,CatBoost,0.6632,0.5516,0.9979,0.0000,0.9359,0.7104,0.9037
6,BiLSTM,0.6613,0.5862,0.8869,0.0000,0.9356,0.6706,0.9041
7,FTTransformer,0.3731,0.3133,0.5524,0.0000,0.9338,0.6740,0.9005
8,CNN1D,0.2158,0.0000,0.8632,0.0000,0.9308,0.6530,0.8958
