model,CIC-BoT-IoT,CIC-IoT-DIAD-2024,CIC-ToN-IoT
RandomForest,0.1361,0.1666,0.0297
XGBoost,0.1445,0.1478,0.0449
LightGBM,0.1351,0.1399,0.0162
CatBoost,0.1139,0.1407,0.0227
CNN1D,0.0824,0.1057,0.0609
BiLSTM,0.1326,0.1688,0.0137
FTTransformer,0.1164,0.1609,0.0604
SAINT,0.1052,0.1937,0.0637
